Best parameters set found on development set:
0.66526 (+/-0.022) for {'max_features': 4, 'min_samples_leaf': 97, 'n_estimators': 1000, 'random_state': 42}
0.66526 (+/-0.020) for {'max_features': 5, 'min_samples_leaf': 26, 'n_estimators': 1000, 'random_state': 42}
0.66526 (+/-0.015) for {'max_features': 5, 'min_samples_leaf': 34, 'n_estimators': 500, 'random_state': 42}
0.66526 (+/-0.021) for {'max_features': 5, 'min_samples_leaf': 45, 'n_estimators': 1000, 'random_state': 42}
0.66526 (+/-0.022) for {'max_features': 5, 'min_samples_leaf': 56, 'n_estimators': 1000, 'random_state': 42}
0.66526 (+/-0.024) for {'max_features': 5, 'min_samples_leaf': 58, 'n_estimators': 1000, 'random_state': 42}
0.66526 (+/-0.019) for {'max_features': 5, 'min_samples_leaf': 64, 'n_estimators': 500, 'random_state': 42}
0.66526 (+/-0.022) for {'max_features': 5, 'min_samples_leaf': 67, 'n_estimators': 1000, 'random_state': 42}
0.66526 (+/-0.024) for {'max_features': 5, 'min_samples_leaf': 73, 'n_estimators': 500, 'random_state': 42}
0.66526 (+/-0.020) for {'max_features': 6, 'min_samples_leaf': 18, 'n_estimators': 1000, 'random_state': 42}
0.66526 (+/-0.020) for {'max_features': 6, 'min_samples_leaf': 71, 'n_estimators': 1000, 'random_state': 42}
0.66526 (+/-0.022) for {'max_features': 6, 'min_samples_leaf': 88, 'n_estimators': 500, 'random_state': 42}
0.66526 (+/-0.018) for {'max_features': 7, 'min_samples_leaf': 91, 'n_estimators': 1000, 'random_state': 42}
0.66526 (+/-0.018) for {'max_features': 7, 'min_samples_leaf': 96, 'n_estimators': 1000, 'random_state': 42}
0.66503 (+/-0.023) for {'max_depth': 2, 'max_features': 7, 'n_estimators': 500, 'random_state': 42}
0.66503 (+/-0.025) for {'max_depth': 2, 'max_features': 8, 'n_estimators': 500, 'random_state': 42}
0.66503 (+/-0.023) for {'max_depth': 3, 'max_features': 9, 'n_estimators': 500, 'random_state': 42}
0.66503 (+/-0.019) for {'max_depth': 4, 'max_features': 7, 'n_estimators': 1000, 'random_state': 42}
