home_team,away_team,home_score,away_score,week,home_spread,home_pass_completions,home_pass_attempts,home_passing_touchdowns,home_interceptions_thrown,home_net_passing_yards,home_total_yards,home_elo,away_pass_completions,away_pass_attempts,away_passing_touchdowns,away_interceptions_thrown,away_net_passing_yards,away_total_yards,away_elo
Buccaneers,Saints,17,34,11,5.5,30,51,2,4,298,334,1440.6196017372151,28,35,3,0,219,328,1635.3436819921453
49ers,Cardinals,36,26,11,-10,34,45,4,2,408,442,1590.9417720838708,24,33,2,0,131,266,1390.183373962091
Raiders,Bengals,17,10,11,-13,25,29,1,1,273,386,1485.2556517981868,13,31,0,1,73,246,1325.486580188298
Eagles,Patriots,10,17,11,4.5,20,40,1,0,174,255,1546.230023732142,27,48,1,0,224,298,1651.0557973957475
Rams,Bears,17,7,11,-5.5,11,18,0,1,173,283,1548.540162989282,25,47,1,1,193,267,1512.980608801491
Chargers,Chiefs,17,24,11,5.5,28,52,1,4,345,438,1499.5280721516224,19,32,1,1,180,310,1570.3085536033661
Texans,Colts,30,17,12,-3.5,19,30,2,1,297,396,1555.783031987842,16,25,0,0,121,296,1511.4530973057922
Bills,Broncos,20,3,12,-3.5,15,25,2,1,180,424,1509.6183495404005,10,25,0,1,49,134,1453.5535257811523
Bears,Giants,19,14,12,-6,25,41,1,2,270,335,1494.1224563383578,21,36,2,0,134,243,1360.6449907000663
Bengals,Steelers,10,16,12,6,12,26,1,0,158,244,1313.5158214078886,13,27,1,1,179,339,1534.5072929362161
Browns,Dolphins,41,24,12,-10.5,24,34,3,1,320,467,1499.120818794553,21,39,2,2,192,284,1343.5334471844758
Falcons,Buccaneers,22,35,12,-3.5,28,55,1,1,280,337,1441.9271261486663,18,28,3,2,313,446,1430.294308358041
Saints,Panthers,34,31,12,-10,30,39,3,1,300,418,1645.6689753713194,23,36,3,0,230,351,1501.5334305069237
Redskins,Lions,19,16,12,4,13,30,0,1,144,230,1331.613173821949,20,33,1,3,189,364,1421.7460526717591
Jets,Raiders,34,3,12,3.5,20,29,2,0,313,401,1390.1171427635861,19,34,0,1,40,208,1497.2264105785962
Eagles,Seahawks,9,17,12,1.5,33,45,1,2,238,344,1531.3804890951933,13,25,1,1,174,348,1621.6207202265855
Titans,Jaguars,42,20,12,-4.5,14,18,2,0,252,471,1497.4158377398262,32,48,0,0,252,369,1447.7863674947328
Patriots,Cowboys,13,9,12,-5.5,17,37,1,0,181,282,1665.9053320326962,19,33,0,1,212,321,1533.3336049921534
49ers,Packers,37,8,12,-3,14,20,2,0,227,339,1600.9989703275469,23,37,1,0,81,198,1621.7249596978759
Rams,Ravens,6,35,12,3,26,37,0,2,199,221,1567.398315452415,16,23,5,0,195,480,1626.492490937627
Lions,Bears,20,24,13,5.5,22,38,2,1,259,364,1395.4171761055475,29,38,3,1,331,419,1507.4295010787341
Cowboys,Bills,15,26,13,-6.5,32,49,2,1,323,426,1519.9791163777163,20,25,2,0,232,357,1527.2587416389356
Falcons,Saints,18,26,13,7,35,50,2,2,259,348,1420.2242680112583,18,31,1,0,184,279,1658.4246359359518
Colts,Titans,17,31,13,1.5,25,40,1,2,309,391,1493.1180792793605,17,22,2,0,138,292,1515.436328521532
Bengals,Jets,22,6,13,2.5,22,37,1,0,233,277,1304.3223157791408,28,48,0,0,209,271,1417.39354560964
Panthers,Redskins,21,29,13,-10.5,27,46,2,1,213,278,1488.7777699422913,13,25,0,0,114,362,1357.9420503881606
Ravens,49ers,20,17,13,-5.5,14,23,1,0,105,283,1643.9547197282873,15,21,1,0,157,331,1623.2502244791513
Jaguars,Buccaneers,11,28,13,3,23,41,1,2,193,242,1429.765876713027,21,33,0,0,241,315,1451.997166495449
Giants,Packers,13,31,13,6.5,20,37,1,3,240,335,1347.33794595969,21,31,4,0,243,322,1599.4737055462715
Dolphins,Eagles,37,31,13,10,28,40,4,1,351,409,1331.3555991571438,28,46,3,1,294,386,1515.7154360442478
Steelers,Browns,20,13,13,1.5,14,21,1,1,199,323,1543.7007985649639,18,34,1,1,173,279,1511.298666821885
Chiefs,Raiders,40,9,13,-10.5,15,29,1,0,163,259,1587.0885981980412,20,30,1,2,210,332,1469.9500077325424
Cardinals,Rams,7,34,13,2.5,19,34,0,1,124,198,1380.126175718415,33,45,2,0,417,549,1549.9360866617549
Broncos,Chargers,23,20,13,4.5,18,28,2,1,134,218,1435.9131336826172,20,29,2,1,244,359,1482.7480275569474
Texans,Patriots,21,3,13,3,0,0,0,0,0,0,1574.1180500142736,0,0,0,0,0,0,1679.2598206471332
Seahawks,Vikings,37,30,13,-3,21,31,2,1,226,444,1637.285773277531,22,38,2,1,276,354,1599.9986583323596
Bears,Cowboys,31,21,14,3,0,0,0,0,0,0,1521.8843672315127,0,0,0,0,0,0,1499.4190533624121
