home_team,away_team,home_score,away_score,date,year,week,home_spread,home_games_played,home_first_downs,home_rush_attempts,home_rushing_yards,home_rushing_touchdowns,home_pass_completions,home_pass_attempts,home_passing_yards,home_passing_touchdowns,home_interceptions_thrown,home_times_sacked,home_sacked_yards,home_net_passing_yards,home_total_yards,home_fumbles,home_fumbles_lost,home_turnovers,home_penalties,home_penalty_yards,home_third_down_conversions,home_third_downs,home_fourth_down_conversions,home_fourth_downs,home_time_of_possession,home_yards_allowed,home_interceptions,home_fumbles_forced,home_fumbles_recovered,home_turnovers_forced,home_sacks,home_sack_yards_forced,away_games_played,away_first_downs,away_rush_attempts,away_rushing_yards,away_rushing_touchdowns,away_pass_completions,away_pass_attempts,away_passing_yards,away_passing_touchdowns,away_interceptions_thrown,away_times_sacked,away_sacked_yards,away_net_passing_yards,away_total_yards,away_fumbles,away_fumbles_lost,away_turnovers,away_penalties,away_penalty_yards,away_third_down_conversions,away_third_downs,away_fourth_down_conversions,away_fourth_downs,away_time_of_possession,away_yards_allowed,away_interceptions,away_fumbles_forced,away_fumbles_recovered,away_turnovers_forced,away_sacks,away_sack_yards_forced
Jets,Jaguars,23,20,10/1/2017,2017,4,4,3,18,32,256,2,23,32,255,0,1,5,40,215,471,3,1,2,10,70,6,17,1,1,2064,311,1,0,0,1,1,4,3,20,39,175,0,15,35,140,1,1,1,4,136,311,0,0,1,6,47,4,15,0,0,2108,471,1,3,1,2,5,40
Cardinals,49ers,18,15,10/1/2017,2017,4,-6.5,3,25,22,51,0,33,51,357,1,1,6,40,317,368,0,0,1,10,80,5,16,0,0,2175,305,1,1,0,1,3,24,3,20,27,95,0,24,49,234,0,1,3,24,210,305,1,0,1,13,113,5,19,1,1,1993,368,1,0,0,1,6,40
Dolphins,Saints,0,20,10/1/2017,2017,4,4,2,11,15,58,0,20,28,164,0,1,4,36,128,186,2,0,1,11,90,1,8,0,1,1532,347,0,2,0,0,1,7,3,22,28,86,0,29,41,268,2,0,1,7,261,347,2,0,0,8,71,6,13,1,2,2068,186,1,2,0,1,4,36
Ravens,Steelers,9,26,10/1/2017,2017,4,3.5,3,18,15,82,0,31,49,235,1,2,4,29,206,288,3,1,3,6,55,5,13,0,2,1471,381,1,1,0,1,1,8,3,22,42,173,2,18,30,216,1,1,1,8,208,381,1,0,1,8,60,7,15,0,0,2129,288,2,3,1,3,4,29
Cowboys,Rams,30,35,10/1/2017,2017,4,-5.5,3,22,27,189,1,20,36,252,3,1,2,1,251,440,1,1,2,4,45,7,14,1,2,1768,412,0,1,0,0,1,11,3,24,31,168,0,21,36,255,2,0,1,11,244,412,1,0,0,7,41,5,13,0,0,1832,440,1,1,1,2,2,1
Buccaneers,Giants,25,23,10/1/2017,2017,4,-2.5,2,20,23,111,0,22,38,332,3,0,1,9,323,434,1,0,0,4,19,3,11,0,1,1547,379,0,1,0,0,0,0,3,24,28,91,1,30,49,288,2,0,0,0,288,379,1,0,0,1,0,8,17,0,1,2053,434,0,1,0,0,1,9
Browns,Bengals,7,31,10/1/2017,2017,4,3.5,3,16,17,45,1,21,42,183,0,1,2,13,170,215,1,0,1,4,28,5,16,1,2,1498,350,0,3,1,1,3,22,3,25,30,86,0,25,30,286,4,0,3,22,264,350,3,1,1,8,66,6,11,0,0,2102,215,1,1,0,1,2,13
Chargers,Eagles,24,26,10/1/2017,2017,4,-2,3,18,13,58,1,22,38,347,2,0,2,5,342,400,2,1,1,9,39,5,10,0,0,1242,454,0,1,0,0,1,2,3,26,42,214,1,17,31,242,1,0,1,2,240,454,1,0,0,9,58,9,16,1,1,2358,400,0,2,1,1,2,5
Patriots,Panthers,30,33,10/1/2017,2017,4,-9,3,24,19,80,1,32,45,307,2,0,3,14,293,373,0,0,0,7,55,7,14,2,2,1867,444,1,1,1,2,2,12,3,28,29,140,1,22,29,316,3,1,2,12,304,444,1,1,2,1,33,6,9,0,0,1733,373,0,0,0,0,3,14
Chiefs,Redskins,29,20,10/2/2017,2017,4,-6.5,3,29,31,168,1,27,37,293,1,0,4,32,261,429,2,0,0,3,15,8,13,0,0,2229,331,0,3,1,1,0,0,3,15,26,111,0,14,24,220,2,0,0,0,220,331,3,1,1,7,44,4,11,1,1,1371,429,0,2,0,0,4,32
Buccaneers,Patriots,14,19,10/5/2017,2017,5,3.5,3,26,20,90,1,26,46,334,1,0,2,15,319,409,2,0,0,9,70,4,13,0,0,1750,402,1,1,1,2,3,14,4,23,23,113,0,30,40,303,1,1,3,14,289,402,1,1,2,12,108,4,12,0,0,1850,409,0,2,0,0,2,15
Browns,Jets,14,17,10/8/2017,2017,5,1.5,4,22,33,140,0,24,36,281,2,2,1,2,279,419,2,1,3,6,60,6,14,1,2,2066,212,1,1,0,1,3,16,4,14,18,34,0,23,30,194,2,1,3,16,178,212,1,0,1,9,80,4,12,0,0,1534,419,2,2,1,3,1,2
Dolphins,Titans,16,10,10/8/2017,2017,5,1,3,12,31,100,0,12,27,92,1,1,1,14,78,178,1,1,2,5,23,5,15,0,0,1785,188,0,2,2,2,6,22,4,14,20,69,0,21,32,141,1,0,6,22,119,188,2,2,2,11,77,2,13,0,0,1815,178,1,1,1,2,1,14
Steelers,Jaguars,9,30,10/8/2017,2017,5,-7,4,21,20,70,0,33,55,312,0,5,2,11,301,371,0,0,5,5,37,7,15,0,0,1868,313,1,0,0,1,2,13,4,15,37,231,2,8,14,95,0,1,2,13,82,313,0,0,1,4,19,6,12,0,0,1732,371,5,0,0,5,2,11
Rams,Seahawks,10,16,10/8/2017,2017,5,-2,4,21,22,100,1,22,47,288,0,2,2,13,275,375,4,3,5,5,45,8,15,0,1,1724,241,2,0,0,2,3,19,4,15,25,62,0,24,38,198,1,2,3,19,179,241,0,0,2,7,40,8,17,0,0,1876,375,2,4,3,5,2,13
Eagles,Cardinals,34,7,10/8/2017,2017,5,-6,4,19,33,122,0,21,30,304,4,1,1,7,297,419,0,0,1,5,60,9,14,0,0,2147,307,0,1,1,1,2,15,4,16,14,31,0,28,44,291,1,0,2,15,276,307,1,1,1,7,61,4,14,2,3,1453,419,1,0,0,1,1,7
Lions,Panthers,24,27,10/8/2017,2017,5,-2,4,19,15,50,1,23,35,229,2,0,6,37,192,242,2,1,1,1,10,5,13,0,1,1477,362,0,1,0,0,3,21,4,16,28,28,0,26,33,355,3,0,3,21,334,362,1,0,0,11,100,7,16,0,0,2123,242,0,2,1,1,6,37
Bengals,Bills,20,16,10/8/2017,2017,5,-3,4,18,27,65,1,22,36,328,1,2,1,5,323,388,2,1,3,6,71,6,15,0,0,1801,221,1,1,0,1,6,27,4,17,24,82,0,20,37,166,1,1,6,27,139,221,1,0,1,6,71,6,18,0,0,1799,388,2,2,1,3,1,5
