home_team,away_team,home_score,away_score,date,year,week,home_spread,home_games_played,home_first_downs,home_rush_attempts,home_rushing_yards,home_rushing_touchdowns,home_pass_completions,home_pass_attempts,home_passing_yards,home_passing_touchdowns,home_interceptions_thrown,home_times_sacked,home_sacked_yards,home_net_passing_yards,home_total_yards,home_fumbles,home_fumbles_lost,home_turnovers,home_penalties,home_penalty_yards,home_third_down_conversions,home_third_downs,home_fourth_down_conversions,home_fourth_downs,home_time_of_possession,home_yards_allowed,home_interceptions,home_fumbles_forced,home_fumbles_recovered,home_turnovers_forced,home_sacks,home_sack_yards_forced,away_games_played,away_first_downs,away_rush_attempts,away_rushing_yards,away_rushing_touchdowns,away_pass_completions,away_pass_attempts,away_passing_yards,away_passing_touchdowns,away_interceptions_thrown,away_times_sacked,away_sacked_yards,away_net_passing_yards,away_total_yards,away_fumbles,away_fumbles_lost,away_turnovers,away_penalties,away_penalty_yards,away_third_down_conversions,away_third_downs,away_fourth_down_conversions,away_fourth_downs,away_time_of_possession,away_yards_allowed,away_interceptions,away_fumbles_forced,away_fumbles_recovered,away_turnovers_forced,away_sacks,away_sack_yards_forced
Giants,Eagles,16,15,10/3/1999,1999,4,-9.5,3,24,38,128,0,21,41,257,1,3,2,24,233,361,6,2,5,5,51,5,15,1,1,2105,174,2,1,1,3,5,23,3,10,26,84,0,9,22,113,0,2,5,23,90,174,1,1,3,6,35,5,14,0,0,1495,361,3,6,2,5,2,24
49ers,Titans,24,22,10/3/1999,1999,4,-1.5,3,17,26,86,1,21,33,243,2,0,1,0,243,329,0,0,0,8,67,5,13,0,0,1947,392,1,0,0,1,3,18,3,17,21,55,0,20,40,355,2,1,3,18,337,392,0,0,1,4,30,8,17,1,1,1653,329,0,0,0,0,1,0
Falcons,Ravens,13,19,10/3/1999,1999,4,-2.5,3,20,26,52,0,24,46,257,1,0,2,11,246,298,3,3,3,6,40,7,18,1,1,1876,307,0,1,0,0,5,29,3,17,34,144,0,13,27,192,2,0,5,29,163,307,1,0,0,5,38,5,16,0,1,2624,298,0,3,3,3,2,11
Dolphins,Bills,18,23,10/4/1999,1999,4,-4.5,2,18,24,59,0,22,44,251,1,2,2,18,233,292,3,1,3,7,50,1,14,1,2,1920,250,0,1,1,1,1,9,3,11,27,73,0,12,25,186,1,0,1,9,177,250,1,1,1,8,74,3,13,0,0,1680,292,2,3,1,3,2,18
Packers,Buccaneers,26,23,10/10/1999,1999,5,-6.0,3,18,23,98,0,22,40,390,2,0,5,38,352,450,3,1,1,9,88,7,16,0,0,1807,273,3,1,1,4,2,10,4,21,32,173,1,16,26,110,1,3,2,10,100,273,1,1,4,3,40,4,12,0,0,1793,450,0,3,1,1,5,38
Bills,Steelers,24,21,10/10/1999,1999,5,-6.5,4,24,33,111,0,21,32,261,3,0,2,7,254,365,1,1,1,4,40,4,12,2,2,1960,255,1,0,0,1,2,9,4,17,23,48,1,21,29,216,2,1,2,9,207,255,0,0,1,2,20,6,13,0,0,1640,365,0,1,1,1,2,7
Rams,49ers,42,20,10/10/1999,1999,5,-3.0,3,20,28,109,0,20,23,323,5,1,1,9,314,423,3,1,2,11,73,6,8,0,0,1849,305,3,0,0,3,0,0,4,21,21,72,1,22,36,233,0,3,0,0,233,305,0,0,3,7,70,4,11,0,0,1751,423,1,3,1,2,1,9
Cardinals,Giants,14,3,10/10/1999,1999,5,-3.0,4,13,27,31,1,17,27,197,1,0,4,22,175,206,1,0,0,3,14,2,13,0,0,1689,285,1,2,1,2,3,24,4,15,28,107,0,24,38,202,0,1,3,24,178,285,2,1,2,8,52,5,17,1,3,1911,206,0,1,0,0,4,22
Chiefs,Patriots,16,14,10/10/1999,1999,5,-2.5,4,20,42,140,1,18,26,198,0,1,2,9,189,329,2,1,2,4,24,7,16,0,0,2137,378,2,5,2,4,3,18,4,18,19,62,0,23,45,334,2,2,3,18,316,378,5,2,4,7,35,9,16,0,0,1463,329,1,2,1,2,2,9
Colts,Dolphins,31,34,10/10/1999,1999,5,1.5,3,18,24,68,0,17,24,274,3,1,2,10,264,332,2,1,2,4,30,3,8,1,2,1553,469,0,2,0,0,0,0,3,19,28,76,1,25,38,393,2,0,0,0,393,469,2,0,0,6,62,5,14,1,2,2047,332,1,2,1,2,2,10
