Best parameters set found on development set:
-0.21288 (+/-0.010) for {'max_depth': 5, 'max_features': 8, 'n_estimators': 1000, 'random_state': 42}
-0.21288 (+/-0.011) for {'max_features': 8, 'min_samples_leaf': 75, 'n_estimators': 1000, 'random_state': 42}
-0.21288 (+/-0.010) for {'max_features': 6, 'min_samples_leaf': 69, 'n_estimators': 500, 'random_state': 42}
-0.21289 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 78, 'n_estimators': 1000, 'random_state': 42}
-0.21289 (+/-0.011) for {'max_features': 8, 'min_samples_leaf': 80, 'n_estimators': 1000, 'random_state': 42}
-0.21289 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 75, 'n_estimators': 1000, 'random_state': 42}
-0.21289 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 90, 'n_estimators': 500, 'random_state': 42}
-0.21289 (+/-0.011) for {'max_features': 10, 'min_samples_leaf': 98, 'n_estimators': 1000, 'random_state': 42}
-0.21289 (+/-0.010) for {'max_features': 6, 'min_samples_leaf': 94, 'n_estimators': 500, 'random_state': 42}
-0.21289 (+/-0.010) for {'max_features': 6, 'min_samples_leaf': 83, 'n_estimators': 500, 'random_state': 42}
-0.21289 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 88, 'n_estimators': 1000, 'random_state': 42}
-0.21289 (+/-0.009) for {'max_features': 6, 'min_samples_leaf': 88, 'n_estimators': 1000, 'random_state': 42}
-0.21289 (+/-0.011) for {'max_features': 10, 'min_samples_leaf': 100, 'n_estimators': 1000, 'random_state': 42}
-0.21289 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 74, 'n_estimators': 500, 'random_state': 42}
-0.21289 (+/-0.009) for {'max_features': 6, 'min_samples_leaf': 98, 'n_estimators': 500, 'random_state': 42}
-0.21289 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 91, 'n_estimators': 1000, 'random_state': 42}
-0.21289 (+/-0.010) for {'max_depth': 5, 'max_features': 9, 'n_estimators': 1000, 'random_state': 42}
-0.21289 (+/-0.010) for {'max_features': 7, 'min_samples_leaf': 76, 'n_estimators': 1000, 'random_state': 42}
-0.21289 (+/-0.010) for {'max_features': 5, 'min_samples_leaf': 32, 'n_estimators': 1000, 'random_state': 42}
-0.21289 (+/-0.011) for {'max_features': 10, 'min_samples_leaf': 99, 'n_estimators': 500, 'random_state': 42}
