Best parameters set found on development set:
-0.22250 (+/-0.011) for {'classification__algorithm': 'auto', 'classification__leaf_size': 13, 'classification__n_neighbors': 57, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22250 (+/-0.011) for {'classification__algorithm': 'auto', 'classification__leaf_size': 28, 'classification__n_neighbors': 67, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22250 (+/-0.011) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 28, 'classification__n_neighbors': 61, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22250 (+/-0.011) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 10, 'classification__n_neighbors': 67, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22251 (+/-0.011) for {'classification__algorithm': 'auto', 'classification__leaf_size': 13, 'classification__n_neighbors': 65, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22251 (+/-0.010) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 20, 'classification__n_neighbors': 65, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22251 (+/-0.011) for {'classification__algorithm': 'auto', 'classification__leaf_size': 20, 'classification__n_neighbors': 69, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22251 (+/-0.010) for {'classification__algorithm': 'auto', 'classification__leaf_size': 5, 'classification__n_neighbors': 61, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22251 (+/-0.011) for {'classification__algorithm': 'auto', 'classification__leaf_size': 7, 'classification__n_neighbors': 67, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22252 (+/-0.012) for {'classification__algorithm': 'auto', 'classification__leaf_size': 16, 'classification__n_neighbors': 67, 'classification__p': 1, 'classification__weights': 'uniform'}
-0.22252 (+/-0.011) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 21, 'classification__n_neighbors': 65, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22252 (+/-0.011) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 23, 'classification__n_neighbors': 59, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22252 (+/-0.010) for {'classification__algorithm': 'kd_tree', 'classification__leaf_size': 7, 'classification__n_neighbors': 67, 'classification__p': 2, 'classification__weights': 'uniform'}
-0.22252 (+/-0.012) for {'classification__algorithm': 'ball_tree', 'classification__leaf_size': 6, 'classification__n_neighbors': 53, 'classification__p': 2, 'classification__weights': 'uniform'}
