Best parameters set found on development set:
0.64936 (+/-0.021) for {'classification__max_features': 2, 'classification__min_samples_split': 98, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64936 (+/-0.006) for {'classification__max_features': 1, 'classification__min_samples_leaf': 19, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64936 (+/-0.023) for {'classification__max_features': 2, 'classification__min_samples_leaf': 33, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64936 (+/-0.014) for {'classification__max_features': 2, 'classification__min_samples_leaf': 39, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64936 (+/-0.016) for {'classification__max_features': 2, 'classification__min_samples_leaf': 44, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64936 (+/-0.019) for {'classification__max_features': 2, 'classification__min_samples_leaf': 49, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64936 (+/-0.017) for {'classification__max_features': 2, 'classification__min_samples_leaf': 62, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64936 (+/-0.011) for {'classification__max_features': 2, 'classification__min_samples_leaf': 63, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64936 (+/-0.017) for {'classification__max_features': 2, 'classification__min_samples_leaf': 70, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64936 (+/-0.013) for {'classification__max_features': 2, 'classification__min_samples_leaf': 86, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64936 (+/-0.013) for {'classification__max_features': 2, 'classification__min_samples_leaf': 94, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64936 (+/-0.021) for {'classification__max_features': 3, 'classification__min_samples_leaf': 43, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64936 (+/-0.016) for {'classification__max_features': 3, 'classification__min_samples_leaf': 52, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64936 (+/-0.024) for {'classification__max_features': 3, 'classification__min_samples_leaf': 54, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64936 (+/-0.023) for {'classification__max_features': 3, 'classification__min_samples_leaf': 87, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64936 (+/-0.024) for {'classification__max_features': 3, 'classification__min_samples_leaf': 88, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64936 (+/-0.026) for {'classification__max_features': 3, 'classification__min_samples_leaf': 93, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64936 (+/-0.012) for {'classification__max_features': 3, 'classification__min_samples_leaf': 97, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64936 (+/-0.022) for {'classification__max_features': 4, 'classification__min_samples_leaf': 97, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64936 (+/-0.025) for {'classification__max_features': 4, 'classification__min_samples_leaf': 99, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64936 (+/-0.021) for {'classification__max_features': 4, 'classification__min_samples_leaf': 100, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64936 (+/-0.032) for {'classification__max_features': 5, 'classification__min_samples_leaf': 93, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64913 (+/-0.017) for {'classification__max_depth': 2, 'classification__max_features': 3, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64913 (+/-0.031) for {'classification__max_depth': 2, 'classification__max_features': 5, 'classification__n_estimators': 1000, 'classification__random_state': 42}
0.64913 (+/-0.018) for {'classification__max_depth': 7, 'classification__max_features': 4, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64913 (+/-0.016) for {'classification__max_features': 1, 'classification__min_samples_split': 38, 'classification__n_estimators': 500, 'classification__random_state': 42}
0.64913 (+/-0.023) for {'classification__max_features': 1, 'classification__min_samples_split': 96, 'classification__n_estimators': 1000, 'classification__random_state': 42}
