Best parameters set found on development set:
0.65942 (+/-0.009) for {'max_features': 2, 'min_samples_leaf': 78, 'n_estimators': 1000, 'random_state': 42}
0.65942 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 34, 'n_estimators': 1000, 'random_state': 42}
0.65942 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 42, 'n_estimators': 1000, 'random_state': 42}
0.65942 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 55, 'n_estimators': 1000, 'random_state': 42}
0.65942 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 59, 'n_estimators': 1000, 'random_state': 42}
0.65942 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 62, 'n_estimators': 1000, 'random_state': 42}
0.65942 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 64, 'n_estimators': 500, 'random_state': 42}
0.65942 (+/-0.015) for {'max_features': 3, 'min_samples_leaf': 66, 'n_estimators': 500, 'random_state': 42}
0.65942 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 68, 'n_estimators': 1000, 'random_state': 42}
0.65942 (+/-0.017) for {'max_features': 3, 'min_samples_leaf': 74, 'n_estimators': 1000, 'random_state': 42}
0.65942 (+/-0.012) for {'max_features': 3, 'min_samples_leaf': 77, 'n_estimators': 500, 'random_state': 42}
0.65942 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 79, 'n_estimators': 1000, 'random_state': 42}
0.65942 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 80, 'n_estimators': 500, 'random_state': 42}
0.65942 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 88, 'n_estimators': 1000, 'random_state': 42}
0.65942 (+/-0.014) for {'max_features': 3, 'min_samples_leaf': 91, 'n_estimators': 500, 'random_state': 42}
0.65942 (+/-0.016) for {'max_features': 3, 'min_samples_leaf': 95, 'n_estimators': 500, 'random_state': 42}
0.65942 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 100, 'n_estimators': 1000, 'random_state': 42}
0.65920 (+/-0.023) for {'max_depth': 5, 'max_features': 5, 'n_estimators': 500, 'random_state': 42}
0.65920 (+/-0.014) for {'max_features': 1, 'min_samples_split': 60, 'n_estimators': 500, 'random_state': 42}
0.65920 (+/-0.010) for {'max_features': 1, 'min_samples_split': 71, 'n_estimators': 500, 'random_state': 42}
0.65920 (+/-0.013) for {'max_features': 1, 'min_samples_leaf': 26, 'n_estimators': 1000, 'random_state': 42}
0.65920 (+/-0.011) for {'max_features': 1, 'min_samples_leaf': 28, 'n_estimators': 500, 'random_state': 42}
