Best parameters set found on development set:
0.72955 (+/-0.018) for {'max_depth': 2, 'max_features': 3, 'n_estimators': 500, 'random_state': 42}
0.72642 (+/-0.018) for {'max_features': 3, 'min_samples_leaf': 77, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72642 (+/-0.022) for {'max_features': 3, 'min_samples_leaf': 100, 'n_estimators': 500, 'random_state': 42} probability 0.015
0.72641 (+/-0.018) for {'max_features': 2, 'min_samples_leaf': 62, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72641 (+/-0.017) for {'max_features': 3, 'min_samples_leaf': 91, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72640 (+/-0.015) for {'max_depth': 6, 'max_features': 2, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72639 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 40, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72639 (+/-0.014) for {'max_features': 4, 'min_samples_leaf': 97, 'n_estimators': 500, 'random_state': 42} probability 0.002
0.72639 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 25, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72638 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 52, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72638 (+/-0.018) for {'max_features': 2, 'min_samples_leaf': 63, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72637 (+/-0.016) for {'max_features': 4, 'min_samples_leaf': 80, 'n_estimators': 500, 'random_state': 42} probability 0.001
0.72636 (+/-0.018) for {'max_features': 2, 'min_samples_leaf': 78, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72635 (+/-0.013) for {'max_features': 4, 'min_samples_leaf': 90, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72635 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 54, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72634 (+/-0.019) for {'max_features': 2, 'min_samples_leaf': 55, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72633 (+/-0.016) for {'max_features': 3, 'min_samples_leaf': 71, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72632 (+/-0.018) for {'max_features': 2, 'min_samples_leaf': 71, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72632 (+/-0.020) for {'max_features': 3, 'min_samples_leaf': 70, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72632 (+/-0.017) for {'max_features': 3, 'min_samples_leaf': 54, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72632 (+/-0.016) for {'max_features': 3, 'min_samples_leaf': 64, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72631 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 52, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72631 (+/-0.017) for {'max_features': 3, 'min_samples_leaf': 65, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72630 (+/-0.019) for {'max_features': 2, 'min_samples_leaf': 68, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72625 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 35, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72624 (+/-0.014) for {'max_features': 4, 'min_samples_leaf': 97, 'n_estimators': 1000, 'random_state': 42} probability 0.001
0.72623 (+/-0.016) for {'max_features': 4, 'min_samples_leaf': 78, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72622 (+/-0.020) for {'max_features': 2, 'min_samples_leaf': 44, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72622 (+/-0.018) for {'max_features': 3, 'min_samples_leaf': 58, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72620 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 70, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72619 (+/-0.019) for {'max_features': 2, 'min_samples_leaf': 48, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72619 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 46, 'n_estimators': 1000, 'random_state': 42} probability 0.000
0.72615 (+/-0.018) for {'max_features': 3, 'min_samples_leaf': 90, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72612 (+/-0.016) for {'max_features': 4, 'min_samples_leaf': 77, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72611 (+/-0.024) for {'max_features': 3, 'min_samples_leaf': 95, 'n_estimators': 500, 'random_state': 42} probability 0.003
0.72610 (+/-0.015) for {'max_features': 4, 'min_samples_leaf': 99, 'n_estimators': 1000, 'random_state': 42} probability 0.003
0.72609 (+/-0.015) for {'max_features': 2, 'min_samples_leaf': 38, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72607 (+/-0.012) for {'max_depth': 5, 'max_features': 1, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72607 (+/-0.016) for {'max_features': 3, 'min_samples_leaf': 54, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72605 (+/-0.017) for {'max_features': 2, 'min_samples_leaf': 93, 'n_estimators': 500, 'random_state': 42} probability 0.000
0.72605 (+/-0.013) for {'max_features': 4, 'min_samples_leaf': 96, 'n_estimators': 500, 'random_state': 42} probability 0.000
