Best parameters set found on development set:
0.66094 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 73, 'n_estimators': 1000, 'random_state': 42}
0.66094 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 75, 'n_estimators': 1000, 'random_state': 42}
0.66094 (+/-0.011) for {'max_features': 2, 'min_samples_leaf': 76, 'n_estimators': 1000, 'random_state': 42}
0.66094 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 78, 'n_estimators': 500, 'random_state': 42}
0.66094 (+/-0.016) for {'max_features': 3, 'min_samples_leaf': 73, 'n_estimators': 1000, 'random_state': 42}
0.66094 (+/-0.016) for {'max_features': 3, 'min_samples_leaf': 74, 'n_estimators': 1000, 'random_state': 42}
0.66094 (+/-0.013) for {'max_features': 3, 'min_samples_leaf': 85, 'n_estimators': 500, 'random_state': 42}
0.66094 (+/-0.018) for {'max_features': 3, 'min_samples_leaf': 88, 'n_estimators': 1000, 'random_state': 42}
0.66094 (+/-0.016) for {'max_features': 3, 'min_samples_leaf': 100, 'n_estimators': 500, 'random_state': 42}
0.66094 (+/-0.017) for {'max_features': 4, 'min_samples_leaf': 87, 'n_estimators': 1000, 'random_state': 42}
0.66094 (+/-0.014) for {'max_features': 4, 'min_samples_leaf': 100, 'n_estimators': 500, 'random_state': 42}
0.66072 (+/-0.016) for {'max_depth': 1, 'max_features': 4, 'n_estimators': 500, 'random_state': 42}
0.66072 (+/-0.013) for {'max_depth': 4, 'max_features': 2, 'n_estimators': 1000, 'random_state': 42}
0.66072 (+/-0.014) for {'max_features': 1, 'min_samples_split': 56, 'n_estimators': 1000, 'random_state': 42}
0.66072 (+/-0.009) for {'max_features': 1, 'min_samples_leaf': 24, 'n_estimators': 1000, 'random_state': 42}
0.66072 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 28, 'n_estimators': 500, 'random_state': 42}
0.66072 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 41, 'n_estimators': 500, 'random_state': 42}
0.66072 (+/-0.016) for {'max_features': 2, 'min_samples_leaf': 49, 'n_estimators': 500, 'random_state': 42}
0.66072 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 65, 'n_estimators': 500, 'random_state': 42}
0.66072 (+/-0.014) for {'max_features': 2, 'min_samples_leaf': 65, 'n_estimators': 1000, 'random_state': 42}
0.66072 (+/-0.013) for {'max_features': 2, 'min_samples_leaf': 68, 'n_estimators': 500, 'random_state': 42}
0.66072 (+/-0.012) for {'max_features': 2, 'min_samples_leaf': 76, 'n_estimators': 500, 'random_state': 42}
